god1,god2,nodes,plies_played,min_depth_reached,mean_depth_reached,final_eval,mean_eval,max_abs_eval,is_decisive,ended_early,evals,seconds
Mortal,Mortal,200000,8,4,7.625,40,-12.375,78,false,false,-34;-59;-42;-51;26;78;-57;40,1.203372
Mortal,Pan,200000,8,4,8.5,-1685,-1576.375,1685,false,false,-1586;-1594;-1584;-1542;-1555;-1514;-1551;-1685,1.2066252
Mortal,Hephaestus,200000,8,4,8.25,-3272,-2699.25,3272,false,false,-2681;-2543;-2571;-2481;-2558;-2698;-2790;-3272,1.2327917
Mortal,Artemis,200000,8,4,6.875,-2084,-2203.375,2323,false,false,-2323;-2228;-2253;-2232;-2221;-2172;-2114;-2084,1.349591
Mortal,Athena,200000,8,4,8.125,-2170,-2166.875,2262,false,false,-2262;-2234;-2204;-2088;-2162;-2095;-2120;-2170,1.1438286
Mortal,Minotaur,200000,8,3,7.625,-2435,-2342.25,2566,false,false,-2566;-2336;-2346;-2314;-2231;-2214;-2296;-2435,1.1497481
Mortal,Atlas,200000,8,3,7.0,-1681,-1811.0,1982,false,false,-1982;-1884;-1857;-1793;-1768;-1761;-1762;-1681,1.2474115
Mortal,Demeter,200000,8,4,7.125,-2599,-2240.125,2599,false,false,-2080;-1961;-2115;-2250;-2327;-2218;-2371;-2599,1.3979857
Mortal,Apollo,200000,8,3,6.25,-2696,-2776.375,2844,false,false,-2844;-2774;-2789;-2776;-2793;-2787;-2752;-2696,1.1810088
Mortal,Prometheus,200000,8,3,6.0,-2881,-2727.625,2881,false,false,-2510;-2572;-2578;-2759;-2759;-2881;-2881;-2881,1.5225301
Mortal,Urania,200000,8,5,7.375,-2697,-2486.25,2697,false,false,-2349;-2393;-2414;-2398;-2500;-2486;-2653;-2697,1.2061065
Mortal,Hermes,200000,8,3,5.375,-2274,-2313.25,2408,false,false,-2147;-2396;-2408;-2392;-2286;-2314;-2289;-2274,2.0309668
Mortal,Limus,200000,8,4,7.625,-2387,-2538.25,2715,false,false,-2675;-2715;-2592;-2504;-2495;-2477;-2461;-2387,2.0233634
Mortal,Hera,200000,8,3,6.25,-2000,-2073.75,2197,false,false,-2045;-2018;-2197;-1983;-2162;-2094;-2091;-2000,2.495533
Mortal,Hypnus,200000,8,3,7.75,-2800,-2852.625,2997,false,false,-2997;-2944;-2948;-2732;-2799;-2719;-2882;-2800,3.6736758
Mortal,Harpies,200000,8,4,9.0,-2563,-2497.75,2603,false,false,-2398;-2411;-2454;-2496;-2519;-2603;-2538;-2563,4.58011
