timestamp,engine_base,engine_cand,secs,god1,god2,outcome,moves_g1,moves_g2
2026-07-12 10:17:41.153,v122,v123,0.5,Hephaestus,Hephaestus,base_sweep,23,28
2026-07-12 10:17:53.356,v122,v123,0.5,Pan,Pan,split_god2,52,28
2026-07-12 10:18:09.340,v122,v123,0.5,Atlas,Atlas,split_god1,35,31
2026-07-12 10:18:12.079,v122,v123,0.5,Artemis,Artemis,base_sweep,51,60
2026-07-12 10:18:14.991,v122,v123,0.5,Mortal,Mortal,base_sweep,45,76
2026-07-12 10:18:20.050,v122,v123,0.5,Athena,Athena,cand_sweep,32,35
2026-07-12 10:18:34.470,v122,v123,0.5,Demeter,Demeter,split_god2,34,22
2026-07-12 10:18:37.987,v122,v123,0.5,Minotaur,Minotaur,cand_sweep,18,47
2026-07-12 10:18:59.572,v122,v123,0.5,Hermes,Hermes,base_sweep,43,48
2026-07-12 10:19:00.240,v122,v123,0.5,Apollo,Apollo,split_god1,86,29
2026-07-12 10:19:08.983,v122,v123,0.5,Prometheus,Prometheus,cand_sweep,34,47
2026-07-12 10:19:43.052,v122,v123,0.5,Urania,Urania,split_god1,77,73
2026-07-12 10:19:48.434,v122,v123,0.5,Graeae,Graeae,split_god2,58,50
2026-07-12 10:20:00.040,v122,v123,0.5,Hera,Hera,split_god2,52,88
2026-07-12 10:20:00.626,v122,v123,0.5,Limus,Limus,base_sweep,71,54
2026-07-12 10:20:16.124,v122,v123,0.5,Harpies,Harpies,cand_sweep,38,33
2026-07-12 10:20:25.900,v122,v123,0.5,Hypnus,Hypnus,split_god1,63,55
2026-07-12 10:20:40.629,v122,v123,0.5,Persephone,Persephone,split_god1,37,65
2026-07-12 10:20:55.616,v122,v123,0.5,Morpheus,Morpheus,split_god1,33,33
2026-07-12 10:21:01.036,v122,v123,0.5,Hades,Hades,split_god1,69,47
2026-07-12 10:21:04.728,v122,v123,0.5,Aeolus,Aeolus,split_god2,28,28
2026-07-12 10:21:05.858,v122,v123,0.5,Aphrodite,Aphrodite,split_god2,76,78
2026-07-12 10:21:15.892,v122,v123,0.5,Hestia,Hestia,split_god1,21,31
2026-07-12 10:21:20.622,v122,v123,0.5,Europa,Europa,base_sweep,21,26
2026-07-12 10:21:30.120,v122,v123,0.5,Clio,Clio,split_god1,23,39
2026-07-12 10:21:33.850,v122,v123,0.5,Maenads,Maenads,cand_sweep,26,23
2026-07-12 10:21:40.601,v122,v123,0.5,Bia,Bia,split_god1,43,43
2026-07-12 10:21:47.834,v122,v123,0.5,Eros,Eros,base_sweep,29,24
2026-07-12 10:21:58.316,v122,v123,0.5,Hippolyta,Hippolyta,split_god2,34,15
2026-07-12 10:22:06.621,v122,v123,0.5,Selene,Selene,cand_sweep,34,44
2026-07-12 10:22:14.064,v122,v123,0.5,Zeus,Zeus,base_sweep,89,40
2026-07-12 10:22:22.570,v122,v123,0.5,Scylla,Scylla,base_sweep,41,38
2026-07-12 10:22:27.210,v122,v123,0.5,Charon,Charon,split_god1,39,29
2026-07-12 10:22:31.682,v122,v123,0.5,Proteus,Proteus,split_god2,24,20
2026-07-12 10:23:00.397,v122,v123,0.5,Asteria,Asteria,split_god1,53,38
2026-07-12 10:23:03.416,v122,v123,0.5,Hydra,Hydra,split_god1,63,21
